"","Variable","influence"
"1","Shape_Area_log",1
"2","maxlat",0.923452648065735
"3","PubmedHits_ln",0.841291057887189
"4","centroidY",0.361991817999622
"5","MaxDiet",0.303827668816818
"6","minlong",0.2604020003265
"7","Population.trend",0.193489907696782
"8","centroidX_log",0.181988692019097
"9","BodyMass_ln",0.181132199531237
"10","Metabolic_Rate_ln",0.169547754722456
"11","minlat",0.163381577348248
"12","Mosquitoes_mean",0.156985034845187
"13","Bio3_mean",0.133190310345548
"14","Ticks_mean",0.126132755529636
"15","maxlong_log",0.12286427613855
"16","HuPop_mean_log",0.116912580108912
"17","bdiversity_mean",0.110883784422529
"18","Bio1_mean",0.104902433827755
"19","SLP_DS",0.104376800827519
"20","Bio12_mean",0.103530682631811
"21","mdiversity_mean",0.0827051430927653
"22","ForStrategy",0.0756671594325752
"23","Habitat_Breadth_sqrt",0.0742526287749805
"24","LandUse_collapsed",0.0644617810692121
"25","ATELIDAE",0.0631440198114267
"26","Body_Temperature",0.0606238155520949
"27","LVSTD_DS",0.0570109327807772
"28","ARDEIDAE",0.0354045376884864
"29","TURDIDAE",0.0349278947425296
"30","DIDELPHIDAE",0.0335506812180926
"31","CERCOPITHECIDAE",0.0262821275632517
"32","ICTERIDAE",0.0186069661472971
"33","ACCIPITRIDAE",0.0177088041836023
"34","MIMIDAE",0.0144638962099973
"35","CRICETIDAE",0.0144126594383081
"36","ActivityTime",0.0123258308011054
"37","PHASIANIDAE",0.0119083397181165
"38","LANIIDAE",0.0117401895166926
"39","TYRANNIDAE",0.0113163274425117
"40","PARIDAE",0.0105415499384973
"41","LARIDAE",0.0103190631125134
"42","IUCN.Status",0.00971668637387922
"43","ANATIDAE",0.0083545137722611
"44","MOLOSSIDAE",0.00803860719372403
"45","PHYLLOSTOMIDAE",0.00758857792935627
"46","ECHIMYIDAE",0.00708862677221692
"47","CORVIDAE",0.00680292594652134
"48","EMBERIZIDAE",0.00664394484421355
"49","ODONTOPHORIDAE",0.00533454866043733
"50","SYLVIIDAE",0.00441663153266118
"51","Crops_majority",0.00418185138101237
"52","TROGLODYTIDAE",0.00253958662104976
"53","BOVIDAE",0.0023669690292105
"54","BUCEROTIDAE",0.0017126526795907
"55","FALCONIDAE",0.00161227614579354
"56","SCOLOPACIDAE",0.0013526312995943
"57","MURIDAE",0.00115247586458032
"58","CEBIDAE",0.0008959202658706
"59","FURNARIIDAE",0.000540247908267883
"60","MUSTELIDAE",0.000378745580890661
"61","COLUMBIDAE",0.000208831880944752
"62","MOTACILLIDAE",6.98685699699096e-05
"63","CERVIDAE",4.70680433325983e-05
"64","FRINGILLIDAE",2.98119692077828e-05
"65","CARDINALIDAE",2.11941508966638e-05
"66","UROCYNCHRAMIDAE",0
"67","UPUPIDAE",0
"68","TURNAGRIDAE",0
"69","TODIDAE",0
"70","THYROPTERIDAE",0
