"","Variable","influence"
"1","Shape_Area_log",1
"2","maxlat",0.720769594590517
"3","centroidY",0.366124071167044
"4","minlong",0.29953342021927
"5","MaxDiet",0.288121629168486
"6","BodyMass_ln",0.233061005025464
"7","Metabolic_Rate_ln",0.174449496503535
"8","Population.trend",0.171607141124633
"9","minlat",0.171581135403714
"10","centroidX_log",0.155373501380246
"11","Ticks_mean",0.142837662015676
"12","maxlong_log",0.120722745731593
"13","Mosquitoes_mean",0.110386209769848
"14","SLP_DS",0.109958749294706
"15","Bio3_mean",0.108177367310967
"16","Bio12_mean",0.0953563890984247
"17","ATELIDAE",0.0870809691700981
"18","Body_Temperature",0.0825312165850126
"19","Habitat_Breadth_sqrt",0.0822596628833403
"20","Bio1_mean",0.079932553697544
"21","mdiversity_mean",0.0768194279729395
"22","ForStrategy",0.0762859540136076
"23","LandUse_collapsed",0.0722591595600636
"24","HuPop_mean_log",0.0672700033052323
"25","bdiversity_mean",0.0585605859994353
"26","LVSTD_DS",0.0478179552215749
"27","MIMIDAE",0.034577190269863
"28","CERCOPITHECIDAE",0.0318662282572137
"29","ICTERIDAE",0.0230149677728042
"30","ActivityTime",0.0215720142226217
"31","ARDEIDAE",0.0215364729505309
"32","CORVIDAE",0.019218147337748
"33","PHASIANIDAE",0.0179544233932341
"34","PARIDAE",0.0165682428086059
"35","TURDIDAE",0.0164718377809771
"36","DIDELPHIDAE",0.0159563430234932
"37","SCOLOPACIDAE",0.0149689452961584
"38","ACCIPITRIDAE",0.0100975153226042
"39","MURIDAE",0.0099816223834553
"40","BOVIDAE",0.0091284138651494
"41","COLUMBIDAE",0.00845353876783332
"42","IUCN.Status",0.00667640506127464
"43","CALLITRICHIDAE",0.00591707383721032
"44","CRICETIDAE",0.00575828676272087
"45","ECHIMYIDAE",0.00488800933350714
"46","MOLOSSIDAE",0.00468120153869293
"47","PHYLLOSTOMIDAE",0.0046260701003052
"48","FALCONIDAE",0.00439138298642191
"49","ANATIDAE",0.00430552696722822
"50","ODONTOPHORIDAE",0.00386873001785384
"51","MUSTELIDAE",0.00221834626788647
"52","EMBERIZIDAE",0.00168615243364296
"53","LANIIDAE",0.00118539785599747
"54","TYRANNIDAE",0.00102495883157986
"55","STRIGIDAE",0.000785375077820128
"56","RHINOLOPHIDAE",0.000775936531646672
"57","Crops_majority",0.000683471151449749
