"","Variable","influence"
"1","Shape_Area_log",1
"2","PubmedHits_ln",0.8129059016269
"3","maxlat",0.768765306231379
"4","minlong",0.68324973028781
"5","MaxDiet",0.464898783409488
"6","BodyMass_ln",0.307630957490314
"7","centroidY",0.279053359965132
"8","minlat",0.268419662957661
"9","Population.trend",0.246159081567211
"10","HuPop_mean_log",0.170908149172892
"11","Bio3_mean",0.16691163947069
"12","Body_Temperature",0.152560755147972
"13","Ticks_mean",0.146590320321331
"14","maxlong_log",0.142791426765154
"15","SLP_DS",0.129293234556848
"16","Mosquitoes_mean",0.128804785909398
"17","bdiversity_mean",0.119977157943792
"18","Bio1_mean",0.116022487167176
"19","mdiversity_mean",0.114360606553093
"20","Bio12_mean",0.113482249428595
"21","Metabolic_Rate_ln",0.0998938907938254
"22","centroidX_log",0.0951271000539193
"23","ForStrategy",0.0820883576885966
"24","ACCIPITRIDAE",0.0737884026382695
"25","LVSTD_DS",0.0719810245072729
"26","LandUse_collapsed",0.0470871518576356
"27","ActivityTime",0.0442811476361159
"28","MIMIDAE",0.0387983751388945
"29","Habitat_Breadth_sqrt",0.035544373619065
"30","COLUMBIDAE",0.0303116398931435
"31","TURDIDAE",0.0225271642081409
"32","ICTERIDAE",0.0188962054768172
"33","STRIGIDAE",0.0186514606335443
"34","CORVIDAE",0.0127185589862743
"35","TYRANNIDAE",0.0126025492909029
"36","FALCONIDAE",0.0121254486715359
"37","LARIDAE",0.010566618812363
"38","PARIDAE",0.0101534951946424
"39","CARDINALIDAE",0.00787416591498383
"40","PHASIANIDAE",0.00555079844310142
"41","ANATIDAE",0.00539516128329452
"42","ODONTOPHORIDAE",0.00509927553017145
"43","IUCN.Status",0.00367499641216331
"44","ARDEIDAE",0.00204691467320798
"45","Crops_majority",0.00193349144957864
"46","BUCEROTIDAE",0.00152257015877122
"47","SYLVIIDAE",0.00129057024138793
"48","PARULIDAE",0.000515341963472746
"49","TROGLODYTIDAE",0.00025780182069516
"50","EMBERIZIDAE",0.000213717093487186
"51","PICIDAE",0.000177385546434257
"52","FURNARIIDAE",0.000169929638216082
"53","MUSCICAPIDAE",0.000105899872001219
"54","FRINGILLIDAE",8.07211009771113e-05
"55","ESTRILDIDAE",7.78311266510043e-05
"56","MOLOSSIDAE",5.45020310319252e-05
"57","UROCYNCHRAMIDAE",0
"58","UPUPIDAE",0
"59","TURNAGRIDAE",0
"60","TODIDAE",0
"61","STRUTHIONIDAE",0
"62","STEATORNITHIDAE",0
"63","SITTIDAE",0
"64","SEMNORNITHIDAE",0
"65","SCOPIDAE",0
"66","SAPAYOAIDAE",0
"67","SAGITTARIIDAE",0
"68","RHIPIDURIDAE",0
"69","RHEIDAE",0
"70","RHABDORNITHIDAE",0
"71","REGULIIDAE",0
"72","PSOPHIIDAE",0
"73","PRUNELLIDAE",0
"74","PROMEROPIDAE",0
"75","POMATOSTOMIDAE",0
"76","PLUVIANIDAE",0
"77","PLUVIANELLIDAE",0
"78","PITYRIASEIDAE",0
"79","PITTIDAE",0
"80","PICATHARTIDAE",0
"81","PHOENICULIDAE",0
"82","PHOENICOPTERIDAE",0
"83","TYTONIDAE",0
"84","PEUCEDRAMIDAE",0
"85","PELECANIDAE",0
"86","PEDIONOMIDAE",0
"87","PARDALOTIDAE",0
"88","PANDIONIDAE",0
"89","TURNICIDAE",0
"90","ORIOLIDAE",0
"91","ROSTRATULIDAE",0
"92","NYCTIBIIDAE",0
"93","STRIGOPIDAE",0
"94","PHILEPITTIDAE",0
"95","SULIDAE",0
"96","PHALACROCORACIDAE",0
"97","POLIOPTILIDAE",0
"98","MEROPIDAE",0
"99","MENURIDAE",0
"100","MELANOCHARITIDAE",0
"101","MACHAERIRHYNCHIDAE",0
"102","IRENIDAE",0
"103","INDICATORIDAE",0
"104","ORTHONYCHIDAE",0
"105","IBIDORHYNCHIDAE",0
"106","PASSERIDAE",0
"107","HEMIPROCNIDAE",0
"108","HELIORNITHIDAE",0
"109","HAEMATOPODIDAE",0
"110","FREGATIDAE",0
"111","FALCUNCULIDAE",0
"112","DULIDAE",0
"113","MALACONOTIDAE",0
"114","DROMADIDAE",0
"115","DONACOBIIDAE",0
"116","DICAEIDAE",0
"117","DASYORNITHIDAE",0
"118","NEOSITTIDAE",0
"119","VIREONIDAE",0
"120","GLAREOLIDAE",0
"121","TINAMIDAE",0
"122","CRACTICIDAE",0
"123","LANIIDAE",0
"124","CORCORACIDAE",0
"125","CORACIIDAE",0
"126","CONOPOPHAGIDAE",0
"127","COLLURICINCLIDAE",0
"128","COEREBIDAE",0
"129","CNEMOPHILIDAE",0
"130","CLIMACTERIDAE",0
"131","RECURVIROSTRIDAE",0
"132","CINCLIDAE",0
"133","CINCLOSOMATIDAE",0
"134","CHLOROPSEIDAE",0
"135","CHIONIDAE",0
"136","FORMICARIIDAE",0
"137","DICRURIDAE",0
"138","MOHOIDAE",0
"139","CERTHIIDAE",0
"140","CATHARTIDAE",0
"141","STERCORARIIDAE",0
"142","CASUARIIDAE",0
"143","CAPITONIDAE",0
"144","DENDROCOLAPTIDAE",0
"145","CAMPEPHAGIDAE",0
"146","EURYLAIMIDAE",0
"147","MEGALAIMIDAE",0
"148","CALLAEATIDAE",0
"149","CUCULIDAE",0
"150","CACATUIDAE",0
"151","BURHINIDAE",0
"152","BUCCONIDAE",0
"153","LYBIIDAE",0
"154","GALBULIDAE",0
"155","THRESKIORNITHIDAE",0
"156","BOMBYCILLIDAE",0
"157","PODARGIDAE",0
"158","PLATYSTEIRIDAE",0
"159","THAMNOPHILIDAE",0
"160","BALAENICIPITIDAE",0
"161","THINOCORIDAE",0
"162","ATRICHORNITHIDAE",0
"163","BRACHYPTERACIIDAE",0
"164","PARADISAEIDAE",0
"165","MOMOTIDAE",0
"166","ARTAMIDAE",0
"167","VANGIDAE",0
"168","MONARCHIDAE",0
"169","ARAMIDAE",0
"170","APTERYGIDAE",0
"171","ZOSTEROPIDAE",0
"172","CISTICOLIDAE",0
"173","CAPRIMULGIDAE",0
"174","PIPRIDAE",0
"175","MOTACILLIDAE",0
"176","GRUIDAE",0
"177","REMIZIDAE",0
"178","ANSERANATIDAE",0
"179","VIDUIDAE",0
"180","THRAUPIDAE",0
"181","ANHINGIDAE",0
"182","ANHIMIDAE",0
"183","EUPETIDAE",0
"184","RAMPHASTIDAE",0
"185","CICONIIDAE",0
"186","CHARADRIIDAE",0
"187","MALURIDAE",0
"188","COTINGIDAE",0
"189","PLOCEIDAE",0
"190","RALLIDAE",0
"191","PETROICIDAE",0
"192","HIRUNDINIDAE",0
"193","PYCNONOTIDAE",0
"194","PACHYCEPHALIDAE",0
"195","ALAUDIDAE",0
"196","PTILONORHYNCHIDAE",0
"197","PSITTACIDAE",0
"198","NECTARINIIDAE",0
"199","ALCIDAE",0
"200","APODIDAE",0
"201","MEGAPODIIDAE",0
"202","AEGOTHELIDAE",0
"203","AEGITHINIDAE",0
"204","AEGITHALIDAE",0
"205","JACANIDAE",0
"206","SCOLOPACIDAE",0
"207","TIMALIIDAE",0
"208","ALCEDINIDAE",0
"209","NUMIDIDAE",0
"210","RHINOCRYPTIDAE",0
"211","STURNIDAE",0
"212","ACANTHIZIDAE",0
"213","ACANTHISITTIDAE",0
"214","MELIPHAGIDAE",0
"215","CRACIDAE",0
"216","TROCHILIDAE",0
"217","THYROPTERIDAE",0
"218","THRYONOMYIDAE",0
"219","TAPIRIDAE",0
"220","CEBIDAE",0
"221","RHINOPOMATIDAE",0
"222","RHINOLOPHIDAE",0
"223","PRIONODONTIDAE",0
"224","HOMINIDAE",0
"225","PLATACANTHOMYIDAE",0
"226","PETROMURIDAE",0
"227","PEDETIDAE",0
"228","OCHOTONIDAE",0
"229","NYCTERIDAE",0
"230","NOCTILIONIDAE",0
"231","NANDINIIDAE",0
"232","MYZOPODIDAE",0
"233","MYSTACINIDAE",0
"234","MYRMECOPHAGIDAE",0
"235","MYOCASTORIDAE",0
"236","MOSCHIDAE",0
"237","MORMOOPIDAE",0
"238","DIATOMYIDAE",0
"239","TRAGULIDAE",0
"240","GIRAFFIDAE",0
"241","EQUIDAE",0
"242","DINOMYIDAE",0
"243","DASYPROCTIDAE",0
"244","CYCLOPEDIDAE",0
"245","CUNICULIDAE",0
"246","CTENOMYIDAE",0
"247","CTENODACTYLIDAE",0
"248","EUPLERIDAE",0
"249","HYAENIDAE",0
"250","GEOMYIDAE",0
"251","CRASEONYCTERIDAE",0
"252","MEPHITIDAE",0
"253","MEGALONYCHIDAE",0
"254","HIPPOPOTAMIDAE",0
"255","CERCOPITHECIDAE",0
"256","CHINCHILLIDAE",0
"257","NATALIDAE",0
"258","ERETHIZONTIDAE",0
"259","HETEROMYIDAE",0
"260","GLIRIDAE",0
"261","RHINOCEROTIDAE",0
"262","CAVIIDAE",0
"263","TAYASSUIDAE",0
"264","CASTORIDAE",0
"265","MEGADERMATIDAE",0
"266","CAPROMYIDAE",0
"267","SPALACIDAE",0
"268","CAMELIDAE",0
"269","DIDELPHIDAE",0
"270","CALOMYSCIDAE",0
"271","CALLITRICHIDAE",0
"272","ECHIMYIDAE",0
"273","BRADYPODIDAE",0
"274","LEPORIDAE",0
"275","NESOMYIDAE",0
"276","BATHYERGIDAE",0
"277","PROCYONIDAE",0
"278","EMBALLONURIDAE",0
"279","SUIDAE",0
"280","HERPESTIDAE",0
"281","HYSTRICIDAE",0
"282","CANIDAE",0
"283","VIVERRIDAE",0
"284","APLODONTIIDAE",0
"285","MUSTELIDAE",0
"286","VESPERTILIONIDAE",0
"287","ANTILOCAPRIDAE",0
"288","HIPPOSIDERIDAE",0
"289","ANOMALURIDAE",0
"290","FURIPTERIDAE",0
"291","PHYLLOSTOMIDAE",0
"292","ATELIDAE",0
"293","DIPODIDAE",0
"294","CERVIDAE",0
"295","AILURIDAE",0
"296","URSIDAE",0
"297","SCIURIDAE",0
"298","BOVIDAE",0
"299","OCTODONTIDAE",0
"300","FELIDAE",0
"301","PTEROPODIDAE",0
"302","ABROCOMIDAE",0
"303","CRICETIDAE",0
"304","MURIDAE",0
