"","Variable","influence"
"1","maxlat",1
"2","PubmedHits_ln",0.953246591455257
"3","Shape_Area_log",0.84174155533644
"4","MaxDiet",0.576632711497748
"5","minlong",0.567632118997146
"6","centroidY",0.43507462055949
"7","Population.trend",0.368311017876653
"8","BodyMass_ln",0.309084308448502
"9","Bio12_mean",0.261156382589443
"10","Bio3_mean",0.242071609143372
"11","maxlong_log",0.211828624664285
"12","ACCIPITRIDAE",0.197028609742564
"13","centroidX_log",0.193648494347088
"14","Ticks_mean",0.179852827770144
"15","minlat",0.172021405266688
"16","Mosquitoes_mean",0.171589851374268
"17","HuPop_mean_log",0.166155490064611
"18","Bio1_mean",0.165815948456217
"19","SLP_DS",0.164996382175363
"20","ForStrategy",0.118937694622814
"21","mdiversity_mean",0.114680041490678
"22","Metabolic_Rate_ln",0.11128422233115
"23","bdiversity_mean",0.0952457599194254
"24","LVSTD_DS",0.0763554949926126
"25","STRIGIDAE",0.0692836714791674
"26","CORVIDAE",0.0663520370027897
"27","ActivityTime",0.0652308716776223
"28","MIMIDAE",0.0616434424597014
"29","LandUse_collapsed",0.0562631185404861
"30","LARIDAE",0.0497216530752445
"31","Body_Temperature",0.0450312919411886
"32","PARIDAE",0.0444934935988619
"33","Habitat_Breadth_sqrt",0.0408196965811663
"34","PHASIANIDAE",0.0129586771581946
"35","TURDIDAE",0.00798766717075813
"36","IUCN.Status",0.00448611834588938
"37","PICIDAE",0.00445879468896232
"38","ICTERIDAE",0.00192256511988526
"39","PACHYCEPHALIDAE",0.00184334876774256
"40","Crops_majority",0.00142836084530493
"41","ANATIDAE",0.000802002955490682
"42","COLUMBIDAE",0.000591162869812882
"43","MUSTELIDAE",0.000550809128652013
"44","BOVIDAE",0.000386174971384754
"45","LANIIDAE",0.000267203769145915
"46","FRINGILLIDAE",0.000112359674384764
"47","SCOLOPACIDAE",6.50011916937267e-05
"48","MURIDAE",5.68787824263258e-05
"49","BUCEROTIDAE",3.11667690077243e-05
"50","CANIDAE",2.55772863219422e-05
