"","Variable","influence"
"1","Shape_Area_log",1
"2","minlong",0.772643873394998
"3","maxlat",0.634953023782769
"4","MaxDiet",0.454242586426956
"5","minlat",0.275574377703441
"6","centroidY",0.268534585657807
"7","BodyMass_ln",0.250369451069913
"8","Population.trend",0.242625357562974
"9","Ticks_mean",0.218588129081541
"10","maxlong_log",0.195687438508827
"11","Bio12_mean",0.192229851728709
"12","Metabolic_Rate_ln",0.179707268566239
"13","HuPop_mean_log",0.157759241685355
"14","Bio3_mean",0.153516708608936
"15","centroidX_log",0.136141510332275
"16","mdiversity_mean",0.132383596724595
"17","bdiversity_mean",0.11968161812456
"18","Bio1_mean",0.116198314613412
"19","Mosquitoes_mean",0.106989452162557
"20","ForStrategy",0.0936569685486479
"21","SLP_DS",0.0933052174853297
"22","LVSTD_DS",0.0727647155002994
"23","Habitat_Breadth_sqrt",0.0516091698076173
"24","ICTERIDAE",0.0449354099568782
"25","Body_Temperature",0.0442598229341979
"26","LandUse_collapsed",0.0431552529772616
"27","CORVIDAE",0.0287374370028714
"28","COLUMBIDAE",0.0271254548964514
"29","ActivityTime",0.0264353776804766
"30","ACCIPITRIDAE",0.0256252784507288
"31","MIMIDAE",0.0219728323106623
"32","TURDIDAE",0.0196973187478135
"33","LARIDAE",0.0151984957627347
"34","PHASIANIDAE",0.0110482312062892
"35","STRIGIDAE",0.00905981255230514
"36","CARDINALIDAE",0.00840879898155345
"37","FALCONIDAE",0.00778255887380003
"38","TYRANNIDAE",0.00653678032511723
"39","PARIDAE",0.00558301644290267
"40","ANATIDAE",0.00449513809326589
"41","PARULIDAE",0.00402385405937762
"42","EMBERIZIDAE",0.00243679148765711
"43","SCOLOPACIDAE",0.00200750262158144
"44","Crops_majority",0.00177535607110056
"45","PICIDAE",0.00155369288846692
"46","IUCN.Status",0.00142038585030347
"47","ARDEIDAE",0.00139212654276052
"48","SYLVIIDAE",0.000666896576100981
"49","FURNARIIDAE",0.000411343302421299
"50","MUSCICAPIDAE",0.000347667926294787
"51","BOVIDAE",0.000265147099029154
"52","MURIDAE",0.000119453020650274
"53","FRINGILLIDAE",4.05759045834914e-05
"54","UROCYNCHRAMIDAE",0
"55","UPUPIDAE",0
"56","TURNAGRIDAE",0
"57","TODIDAE",0
"58","STRUTHIONIDAE",0
"59","STEATORNITHIDAE",0
"60","SITTIDAE",0
"61","SEMNORNITHIDAE",0
"62","SCOPIDAE",0
"63","SAPAYOAIDAE",0
"64","SAGITTARIIDAE",0
"65","RHIPIDURIDAE",0
"66","RHEIDAE",0
"67","RHABDORNITHIDAE",0
"68","REGULIIDAE",0
"69","PSOPHIIDAE",0
"70","PRUNELLIDAE",0
"71","PROMEROPIDAE",0
"72","POMATOSTOMIDAE",0
"73","PLUVIANIDAE",0
"74","PLUVIANELLIDAE",0
"75","PITYRIASEIDAE",0
"76","PITTIDAE",0
"77","PICATHARTIDAE",0
"78","PHOENICULIDAE",0
"79","PHOENICOPTERIDAE",0
"80","TYTONIDAE",0
"81","PEUCEDRAMIDAE",0
"82","PELECANIDAE",0
"83","PEDIONOMIDAE",0
"84","PARDALOTIDAE",0
"85","PANDIONIDAE",0
"86","TURNICIDAE",0
"87","ORIOLIDAE",0
"88","ROSTRATULIDAE",0
"89","NYCTIBIIDAE",0
"90","STRIGOPIDAE",0
"91","PHILEPITTIDAE",0
"92","SULIDAE",0
"93","PHALACROCORACIDAE",0
"94","POLIOPTILIDAE",0
"95","MEROPIDAE",0
"96","MENURIDAE",0
"97","MELANOCHARITIDAE",0
"98","MACHAERIRHYNCHIDAE",0
"99","IRENIDAE",0
"100","INDICATORIDAE",0
"101","ORTHONYCHIDAE",0
"102","IBIDORHYNCHIDAE",0
"103","PASSERIDAE",0
"104","HEMIPROCNIDAE",0
"105","HELIORNITHIDAE",0
"106","HAEMATOPODIDAE",0
"107","FREGATIDAE",0
"108","FALCUNCULIDAE",0
"109","DULIDAE",0
"110","MALACONOTIDAE",0
"111","DROMADIDAE",0
"112","DONACOBIIDAE",0
"113","DICAEIDAE",0
"114","DASYORNITHIDAE",0
"115","NEOSITTIDAE",0
"116","VIREONIDAE",0
"117","GLAREOLIDAE",0
"118","TINAMIDAE",0
"119","CRACTICIDAE",0
"120","LANIIDAE",0
"121","CORCORACIDAE",0
"122","CORACIIDAE",0
"123","CONOPOPHAGIDAE",0
"124","COLLURICINCLIDAE",0
"125","COEREBIDAE",0
"126","CNEMOPHILIDAE",0
"127","CLIMACTERIDAE",0
"128","RECURVIROSTRIDAE",0
"129","CINCLIDAE",0
"130","CINCLOSOMATIDAE",0
"131","CHLOROPSEIDAE",0
"132","CHIONIDAE",0
"133","FORMICARIIDAE",0
"134","DICRURIDAE",0
"135","MOHOIDAE",0
"136","CERTHIIDAE",0
"137","CATHARTIDAE",0
"138","STERCORARIIDAE",0
"139","CASUARIIDAE",0
"140","CAPITONIDAE",0
"141","TROGLODYTIDAE",0
"142","DENDROCOLAPTIDAE",0
"143","CAMPEPHAGIDAE",0
"144","EURYLAIMIDAE",0
"145","MEGALAIMIDAE",0
"146","ODONTOPHORIDAE",0
"147","CALLAEATIDAE",0
"148","CUCULIDAE",0
"149","CACATUIDAE",0
"150","BURHINIDAE",0
"151","BUCCONIDAE",0
"152","LYBIIDAE",0
"153","GALBULIDAE",0
"154","THRESKIORNITHIDAE",0
"155","BOMBYCILLIDAE",0
"156","PODARGIDAE",0
"157","PLATYSTEIRIDAE",0
"158","THAMNOPHILIDAE",0
"159","BALAENICIPITIDAE",0
"160","THINOCORIDAE",0
"161","ATRICHORNITHIDAE",0
"162","BRACHYPTERACIIDAE",0
"163","PARADISAEIDAE",0
"164","MOMOTIDAE",0
"165","ARTAMIDAE",0
"166","VANGIDAE",0
"167","MONARCHIDAE",0
"168","ARAMIDAE",0
"169","APTERYGIDAE",0
"170","ZOSTEROPIDAE",0
"171","CISTICOLIDAE",0
"172","CAPRIMULGIDAE",0
"173","PIPRIDAE",0
"174","MOTACILLIDAE",0
"175","GRUIDAE",0
"176","REMIZIDAE",0
"177","ANSERANATIDAE",0
"178","VIDUIDAE",0
"179","THRAUPIDAE",0
"180","ANHINGIDAE",0
"181","ANHIMIDAE",0
"182","EUPETIDAE",0
"183","RAMPHASTIDAE",0
"184","CICONIIDAE",0
"185","CHARADRIIDAE",0
"186","MALURIDAE",0
"187","COTINGIDAE",0
"188","PLOCEIDAE",0
"189","RALLIDAE",0
"190","PETROICIDAE",0
"191","ESTRILDIDAE",0
"192","HIRUNDINIDAE",0
"193","PYCNONOTIDAE",0
"194","PACHYCEPHALIDAE",0
"195","ALAUDIDAE",0
"196","PTILONORHYNCHIDAE",0
"197","PSITTACIDAE",0
