,Unnamed: 0,City,Common_Names,Country,County,Family_x,GBReference_title,GenBank,Genus_x,Latitude,Location,Longitude,Order_x,ScientificName_x,State,Test,Virus,Virus_Confirmed,Confirmation,Virus_Family,Year,accession,referenceID,Host,MatchHost,MatchRatio,Species ID,Kingdom,Phylum,Class,Order_y,Family_y,Genus_y,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,ScientificName_y
3,6614,,,USA: New York,,ACCIPITRIDAE,"{u'GBReference_position': '1..10547', u'GBReference_reference': '1', u'GBReference_authors': ['Henn,M.R.', 'Newman,R.M.', 'Young,D.', 'Ciota,A.', 'Levin,J.', 'Malboeuf,C.', 'Casali,M.', 'Russ,C.', 'Lennon,N.', 'Erlich,R.', 'Anderson,S.', 'Rizzolo,K.', 'Green,L.', 'Ryan,E.', 'Yu,Q.', 'Young,S.', 'Berlin,A.', 'Heiman,D.', 'Sykes,S.', 'Koehrsen,M.', 'Borenstein,D.', 'Engels,R.', 'Freedman,E.', 'Gellesch,M.', 'Heilman,E.', 'Howarth,C.', 'Jen,D.', 'Larson,L.', 'Neiman,D.', 'Park,D.', 'Pearson,M.', 'Roberts,A.', 'Sisk,P.', 'Stolte,C.', 'White,J.', 'Alvarado,L.', 'Godfrey,P.', 'Shenoy,N.', 'Yandava,C.', 'Zeng,Q.', 'Kramer,L.', 'Nusbaum,C.', 'Birren,B.'], u'GBReference_journal': 'Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA', u'GBReference_consortium': 'Broad Institute Genome Sequencing Platform; NYS West Nile Virus Surveillance Team', u'GBReference_title': 'Direct Submission'}",1.0,,,,,ACCIPITRIFORMES,Accipiter cooperii,,nucleotide,West Nile virus,1,1,Flaviviridae,2008,HM756660,GenBank,Accipiter cooperii,Accipiter cooperii,100,22695656.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,cooperii,"(Bonaparte, 1828)",,,,,,Cooper's Hawk,,,LC,,3.1,2012.0,increasing,N,Accipiter cooperii
4,3488,,,"USA: Erie Co., NY",,ACCIPITRIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,ACCIPITRIFORMES,Accipiter gentilis,,nucleotide,West Nile virus,1,1,Flaviviridae,21-Aug-06,KX547511,GenBank,Accipiter gentilis,Accipiter gentilis,100,22695683.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,gentilis,"(Linnaeus, 1758)",,,,,,"Northern Goshawk, Eurasian Goshawk, Goshawk",Autour des palombes,,LC,,3.1,2013.0,stable,N,Accipiter gentilis
5,5857,,,USA,,ACCIPITRIDAE,"{u'GBReference_position': '1..10979', u'GBReference_reference': '1', u'GBReference_authors': ['Newman,R.M.', 'Zody,M.C.', 'Ip,H.', 'Poon,T.W.', 'Charlebois,P.', 'Weiner,B.', 'Yang,X.', 'Piper,M.E.', 'Fitzgerald,M.', 'McCowan,C.', 'Young,S.', 'Gargeya,S.', 'Levin,J.', 'Malboeuf,C.', 'Qu,J.', 'Ireland,A.', 'Chapman,S.B.', 'Murphy,C.', 'Wortman,J.', 'Nusbaum,C.', 'Birren,B.'], u'GBReference_journal': 'Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA', u'GBReference_consortium': 'The Broad Institute Genomics Platform; The Broad Institute Genome Sequencing Center for Infectious Disease', u'GBReference_title': 'Direct Submission'}",1.0,,,,,ACCIPITRIFORMES,Accipiter gentilis,,nucleotide,West Nile virus,1,1,Flaviviridae,2002,KJ501286,GenBank,Accipiter gentilis,Accipiter gentilis,100,22695683.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,gentilis,"(Linnaeus, 1758)",,,,,,"Northern Goshawk, Eurasian Goshawk, Goshawk",Autour des palombes,,LC,,3.1,2013.0,stable,N,Accipiter gentilis
6,3455,,,"USA: Onondaga Co., NY",,ACCIPITRIDAE,"{u'GBReference_position': '1..10787', u'GBReference_reference': '1', u'GBReference_journal': 'Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA', u'GBReference_title': 'Direct Submission', u'GBReference_authors': ['Shabman,R.', 'Das,S.R.', 'Halpin,R.A.', 'Shilts,M.', 'Fedorova,N.', 'Puri,V.', 'Amedeo,P.', 'Shrivastava,S.', 'Maffei,J.', 'Dupuis,A.', 'Jones,S.', 'Backenson,B.', 'Zink,S.', 'Ciota,A.', 'Kramer,L.']}",1.0,,,,,ACCIPITRIFORMES,Accipiter striatus,,nucleotide,West Nile virus,1,1,Flaviviridae,26-Aug-09,KX547544,GenBank,Accipiter striatus,Accipiter striatus,100,22734130.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,striatus,"Vieillot, 1807",,,,,,Sharp-shinned Hawk,,,LC,,3.1,2012.0,increasing,N,Accipiter striatus
7,5647,,,USA,,ACCIPITRIDAE,"{u'GBReference_position': '1..10985', u'GBReference_reference': '1', u'GBReference_authors': ['Newman,R.M.', 'Zody,M.C.', 'Ip,H.', 'Poon,T.W.', 'Charlebois,P.', 'Weiner,B.', 'Yang,X.', 'Piper,M.E.', 'Fitzgerald,M.', 'McCowan,C.', 'Young,S.', 'Gargeya,S.', 'Levin,J.', 'Malboeuf,C.', 'Qu,J.', 'Ireland,A.', 'Chapman,S.B.', 'Murphy,C.', 'Wortman,J.', 'Nusbaum,C.', 'Birren,B.'], u'GBReference_journal': 'Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA', u'GBReference_consortium': 'The Broad Institute Genomics Platform; The Broad Institute Genome Sequencing Center for Infectious Disease', u'GBReference_title': 'Direct Submission'}",1.0,,,,,ACCIPITRIFORMES,Accipitridae,,nucleotide,West Nile virus,1,1,Flaviviridae,2001,KJ501497,GenBank,Accipitridae,Accipitridae sp,Unidentified,,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,sp,sp,,,,,,,,,,,,,,,,
8,4205,,,"USA:Connecticut, East Haven",,ACCIPITRIDAE,"{u'GBReference_position': '1..921', u'GBReference_reference': '1', u'GBReference_authors': ['Anderson,J.F.', 'Andreadis,T.G.', 'Vossbrinck,C.R.', 'Tirrell,S.', 'Wakem,E.M.', 'French,R.A.', 'Garmendia,A.E.', 'Van Kruiningen,H.J.'], u'GBReference_journal': 'Science 286 (5448), 2331-2333 (1999)', u'GBReference_pubmed': '10600741', u'GBReference_title': ""Isolation of West Nile virus from mosquitoes, crows, and a Cooper's hawk in Connecticut""}",1.0,,,,,ACCIPITRIFORMES,Accipter cooperii,,nucleotide,West Nile virus,1,1,Flaviviridae,,AF206520,GenBank,Accipter cooperii,Accipiter cooperii,97,22695656.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,cooperii,"(Bonaparte, 1828)",,,,,,Cooper's Hawk,,,LC,,3.1,2012.0,increasing,N,Accipiter cooperii
12,5620,,,USA,,SCOLOPACIDAE,"{u'GBReference_position': '1..10979', u'GBReference_reference': '1', u'GBReference_authors': ['Newman,R.M.', 'Zody,M.C.', 'Ip,H.', 'Poon,T.W.', 'Charlebois,P.', 'Weiner,B.', 'Yang,X.', 'Piper,M.E.', 'Fitzgerald,M.', 'McCowan,C.', 'Young,S.', 'Gargeya,S.', 'Levin,J.', 'Malboeuf,C.', 'Qu,J.', 'Ireland,A.', 'Chapman,S.B.', 'Murphy,C.', 'Wortman,J.', 'Nusbaum,C.', 'Birren,B.'], u'GBReference_journal': 'Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA', u'GBReference_consortium': 'The Broad Institute Genomics Platform; The Broad Institute Genome Sequencing Center for Infectious Disease', u'GBReference_title': 'Direct Submission'}",1.0,,,,,CHARADRIIFORMES,Actitis macularius,,nucleotide,West Nile virus,1,1,Flaviviridae,2006,KJ501524,GenBank,Actitis macularius,Actitis macularius,100,22693277.0,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Actitis,macularius,"Linnaeus, 1766",,,,,Actitis macularia macularia|Actitis macularia macularia|Tringa macularia macularia,Spotted Sandpiper,,,LC,,3.1,2012.0,decreasing,N,Actitis macularius
135,973,Zurich,,Switzerland,,STRIGIDAE,0,0.0,,,,,STRIGIFORMES,Aegolius funereus,,RT-PCR,Usutu virus,,1,Flaviviridae,,0,116-ES-25,Aegolius funereus,Aegolius funereus,100,22689362.0,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,funereus,"(Linnaeus, 1758)",,,,,,"Boreal Owl, Tengmalm's Owl",,,LC,,3.1,2012.0,stable,N,Aegolius funereus
136,977,Milan,,Italy,,STRIGIDAE,0,0.0,,,,,STRIGIFORMES,Aegolius funerius,,RT-PCR,Usutu virus,,1,Flaviviridae,,0,116-ES-26,Aegolius funerius,Aegolius funereus,94,22689362.0,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Aegolius,funereus,"(Linnaeus, 1758)",,,,,,"Boreal Owl, Tengmalm's Owl",,,LC,,3.1,2012.0,stable,N,Aegolius funereus
137,6750,,,Russia,,ACCIPITRIDAE,"{u'GBReference_position': '1..347', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in far eastern region of Russia in 2002-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Protopopova,E.V.', 'Surmach,S.G.', 'Gazetdinov,M.V.', 'Zolotykh,S.I.', 'Shestopalov,A.M.', 'Pavlenko,E.V.', 'Leonova,G.N.', 'Loktev,V.B.']}",1.0,,,,,ACCIPITRIFORMES,Aegypius monachus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059559,GenBank,Aegypius monachus,Aegypius monachus,100,22695231.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,monachus,"(Linnaeus, 1766)",,,,,,"Cinereous Vulture, Eurasian Black Vulture, Black Vulture",Vautour moine,Buitre Negro,NT,,3.1,2013.0,decreasing,N,Aegypius monachus
138,6751,,,Russia,,ACCIPITRIDAE,"{u'GBReference_position': '1..347', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in far eastern region of Russia in 2002-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Protopopova,E.V.', 'Surmach,S.G.', 'Gazetdinov,M.V.', 'Zolotykh,S.I.', 'Shestopalov,A.M.', 'Pavlenko,E.V.', 'Leonova,G.N.', 'Loktev,V.B.']}",1.0,,,,,ACCIPITRIFORMES,Aegypius monachus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059558,GenBank,Aegypius monachus,Aegypius monachus,100,22695231.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,monachus,"(Linnaeus, 1766)",,,,,,"Cinereous Vulture, Eurasian Black Vulture, Black Vulture",Vautour moine,Buitre Negro,NT,,3.1,2013.0,decreasing,N,Aegypius monachus
139,6752,,,Russia,,ACCIPITRIDAE,"{u'GBReference_position': '1..347', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in far eastern region of Russia in 2002-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Protopopova,E.V.', 'Surmach,S.G.', 'Gazetdinov,M.V.', 'Zolotykh,S.I.', 'Shestopalov,A.M.', 'Pavlenko,E.V.', 'Leonova,G.N.', 'Loktev,V.B.']}",1.0,,,,,ACCIPITRIFORMES,Aegypius monachus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059557,GenBank,Aegypius monachus,Aegypius monachus,100,22695231.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,monachus,"(Linnaeus, 1766)",,,,,,"Cinereous Vulture, Eurasian Black Vulture, Black Vulture",Vautour moine,Buitre Negro,NT,,3.1,2013.0,decreasing,N,Aegypius monachus
140,6753,,,Russia,,ACCIPITRIDAE,"{u'GBReference_position': '1..347', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in far eastern region of Russia in 2002-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Protopopova,E.V.', 'Surmach,S.G.', 'Gazetdinov,M.V.', 'Zolotykh,S.I.', 'Shestopalov,A.M.', 'Pavlenko,E.V.', 'Leonova,G.N.', 'Loktev,V.B.']}",1.0,,,,,ACCIPITRIFORMES,Aegypius monachus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059556,GenBank,Aegypius monachus,Aegypius monachus,100,22695231.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,monachus,"(Linnaeus, 1766)",,,,,,"Cinereous Vulture, Eurasian Black Vulture, Black Vulture",Vautour moine,Buitre Negro,NT,,3.1,2013.0,decreasing,N,Aegypius monachus
141,6755,,,Russia,,ACCIPITRIDAE,"{u'GBReference_position': '1..347', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': 'Genotyping of the West Nile virus in birds in far eastern region of Russia in 2002-2004', u'GBReference_authors': ['Ternovoi,V.A.', 'Protopopova,E.V.', 'Surmach,S.G.', 'Gazetdinov,M.V.', 'Zolotykh,S.I.', 'Shestopalov,A.M.', 'Pavlenko,E.V.', 'Leonova,G.N.', 'Loktev,V.B.']}",1.0,,,,,ACCIPITRIFORMES,Aegypius monachus,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ059554,GenBank,Aegypius monachus,Aegypius monachus,100,22695231.0,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius,monachus,"(Linnaeus, 1766)",,,,,,"Cinereous Vulture, Eurasian Black Vulture, Black Vulture",Vautour moine,Buitre Negro,NT,,3.1,2013.0,decreasing,N,Aegypius monachus
